id,observed_on,latitude,longitude
18746808,2018-11-29,33.2671025,-88.8455608333
19293954,2018-12-27,30.3978472222,-88.7901472222
19362523,2018-12-31,31.6862916667,-90.3453966667
19367365,2019-01-01,30.3727371423,-88.5235602026
19392499,2018-09-20,31.779797071,-90.1062727814
19553158,2018-09-27,30.4099805344,-88.9564806378
19630606,2018-06-01,32.5237666667,-89.9466866667
19683499,2018-07-15,32.5236666667,-89.9441616667
19709827,2013-08-30,30.6712532157,-88.632406787
20044947,2019-02-02,30.3980077498,-88.7901133428
20328984,2019-02-13,30.4417051378,-88.6048433132
20897785,2019-03-02,30.4320416667,-88.6581616667
21117463,2019-03-10,32.5236366667,-89.9439083333
21135292,2019-03-10,30.3991777778,-88.6464527778
21237669,2019-03-14,30.9279444018,-88.6025635039
21620785,2019-03-23,33.2711433,-88.7836106
21876010,2017-03-18,30.2230281284,-89.5459505048
22070016,2019-04-05,33.2730181609,-88.7898799126
22131050,2019-04-06,33.281659332,-88.8027916912
22151664,2019-04-07,30.3924111111,-88.7880861111
22171322,2019-04-07,30.3918303281,-88.7911605835
22173190,2019-04-07,30.397904722,-88.7901185042
22343790,2019-04-11,30.4320216667,-88.6566866667
22687176,2019-02-03,30.3981139999,-88.7898335839
22767803,2019-04-20,32.5291559,-89.94386577
23323803,2019-04-15,30.39788788,-88.79278229
23441537,2019-04-21,32.3912079601,-90.0364113711
23801796,2019-04-27,32.5868851343,-89.8571910164
24192744,2018-03-20,30.4377583333,-88.435045
24613799,2019-05-05,31.5831265004,-89.2877129017
24776945,2019-05-06,31.3515149379,-91.4313983411
24963098,2019-05-11,30.3971340414,-88.791655948
25194439,2016-10-23,31.42599,-91.4531355
25240973,2016-08-20,32.5845209409,-89.8617647533
25243218,2014-05-04,31.7032555,-91.3755634
25331898,2016-07-09,31.3731732,-91.1676975
25437384,2019-05-18,30.524947671,-88.7782244659
25503050,2019-05-21,30.3272689413,-88.557276084
25688113,2019-05-19,31.3515833333,-91.42728
26675066,2019-04-23,30.392325,-88.7880333333
27302572,2019-06-19,30.3979515191,-88.7901214946
27466664,2019-06-22,31.3165206125,-89.2678719534
27470126,2019-06-22,31.42599,-91.4531355
27759185,2019-06-27,30.4656303341,-88.6031938811
27879696,2018-11-30,33.2781820582,-88.7807319654
28232343,2019-07-04,30.3268916667,-88.4626611111
28712340,2013-07-16,30.3796030332,-88.6139106446
29733124,1997-07-13,33.0809251,-90.9711324
30076582,2019-08-02,32.0326138048,-90.6387103433
30143989,2019-08-03,31.42599,-91.4531355
30330689,2019-08-06,31.4089664181,-91.1860171704
30823022,2019-08-13,30.2359011,-88.669948
31322557,2019-08-22,31.3622147,-91.4174548
31478139,2019-08-25,33.27437766,-88.79059217
32578581,2019-09-11,31.42599,-91.4531355
33512799,2019-09-25,33.2671200451,-88.781426847
34136367,2019-10-09,31.42599,-91.4531355
34230811,2019-10-11,31.545975,-90.4505083333
34433063,2018-07-29,30.372952511,-88.7025815563
34467866,2019-10-06,30.3923483333,-88.7879833333
34467868,2019-10-06,30.3923483333,-88.7879833333
34467872,2019-10-06,30.3923083333,-88.7879583333
34467907,2019-10-06,30.3923983333,-88.7878983333
34467921,2019-10-06,30.3979183333,-88.7900833333
34604602,2019-10-19,31.42599,-91.4531355
34673516,2019-05-14,30.3604354858,-88.7643585205
34844207,2019-10-24,31.42599,-91.4531355
35448581,2019-11-06,30.392225,-88.788065
36094423,2005-08-19,30.379686684,-88.7085737118
36257945,2019-12-01,30.4008116667,-88.7522283333
37560922,2020-01-13,30.392325,-88.7880388889
37594595,2020-01-14,30.3922328998,-88.7879828364
37594609,2020-01-14,30.3978823217,-88.7904088944
37657387,2020-01-16,30.4064719401,-88.8174418733
38119141,2019-11-07,31.3513144181,-91.4247088689
38304712,2020-02-04,30.445166,-88.425399
38335122,2020-02-04,30.4455236111,-88.4254369444
38450398,2020-02-03,30.3974216465,-88.7919947505
38814964,2020-02-16,33.2776893176,-88.7942873687
39300245,2020-02-23,30.39791,-88.7901266667
39434366,2020-03-01,30.5046805443,-88.6947382767
39733358,2020-03-08,31.7589991986,-90.2148786055
39822034,2019-05-01,30.3169415786,-89.4021471323
39851645,2020-03-11,30.3923892,-88.78806321
39922782,2020-03-12,30.4437929757,-88.6969165497
39994226,2020-03-13,31.66175833,-88.72048833
40289270,2020-03-12,30.4465203372,-88.4252040088
40327474,2020-03-20,32.5429061256,-89.9206709862
40367052,2020-03-21,33.2782134387,-88.794590091
40403112,2020-03-21,30.39768833,-88.79202167
40541670,2020-03-22,33.2712422451,-88.7815534976
40549851,2020-03-22,30.4400256621,-88.7761165243
40769965,2020-03-26,33.2821,-88.77838
40779527,2019-07-03,30.368943959,-88.7933302862
40852629,2020-03-27,32.5429061256,-89.9206709862
40893407,2020-03-28,32.3702031607,-90.0122354832
40915125,2020-03-28,30.3496194444,-88.71405
41138737,2020-03-31,30.4166424789,-88.6545308806
41318949,2020-04-03,32.4636318652,-90.0453672564
41327017,2020-04-01,31.6932,-88.57891167
41339745,2020-04-01,33.27840833,-88.79445
41418004,2020-04-04,31.936641799,-90.0186143745
41577301,2015-06-24,33.281044737,-88.7799280603
41653431,2020-03-07,32.5535998889,-89.8890133333
41750098,2020-02-12,30.44556167,-88.425055
41922824,2020-04-10,32.5429061256,-89.9206602573
41922830,2020-04-10,32.5429061256,-89.9206602573
42088177,2020-04-13,30.4156940477,-88.5419461504
42781169,2020-04-21,31.48477,-91.42453
43192292,2020-04-24,32.5429061256,-89.9206709862
44207979,2020-04-28,33.8387816667,-90.0895183333
44292418,2020-04-29,32.1228644308,-89.6192364309
44412465,2000-04-17,31.4232853116,-91.4807183635
44682734,2020-05-02,31.4089890855,-91.1861614639
45337013,2020-05-06,32.87625,-90.5723416667
45414638,2020-05-09,33.2727415113,-88.7894533786
45423343,2020-05-09,30.4,-88.8
45842947,2020-05-10,33.2711432751,-88.7836105004
45901212,2020-05-14,33.7560466606,-90.1518009051
45941095,2020-05-14,33.030075,-90.31018
46144895,2003-03-18,32.2955517387,-89.6533391385
46842404,2020-05-22,32.5126722686,-90.991244336
47103329,2020-05-23,32.28950383,-90.1769124717
47553426,2020-05-27,30.3744159477,-88.5687953451
48046541,2020-05-31,32.3521086697,-90.07309971
48147585,2019-12-15,30.39229997,-88.78796225
48228679,2020-05-31,32.351486461,-90.0723081567
49399548,2020-06-12,30.3739416667,-88.707625
49827972,2020-06-15,30.3924305556,-88.7880777778
50001190,2020-04-24,30.3594969611,-88.5608016569
50176604,2020-06-18,30.3840280491,-89.3674243267
50348082,2020-06-20,32.478645097,-90.1709948589
50587510,2016-03-29,30.4355898754,-88.4374885261
50939004,2020-06-24,32.6849215551,-90.2739568774
51240570,2020-06-28,33.2784592925,-88.7938857079
52078677,2020-07-05,30.39245333,-88.78805
52303888,2020-07-07,30.3922929768,-88.7880267523
52621123,2020-07-09,30.3938873775,-88.7879341799
52697838,2020-07-10,31.2677955414,-91.0494112272
52839872,2020-07-11,30.3918303281,-88.7915039063
52979200,2020-07-13,30.3937583333,-88.7880616667
53002097,2020-07-13,31.28848,-89.21775
53003258,2020-07-13,30.3937983333,-88.787995
53003837,2020-07-13,30.3923533333,-88.7880216667
53082820,2020-07-13,32.2861384294,-90.0756056571
53319444,2020-07-16,30.3613057098,-88.7632193726
53493414,2020-07-17,31.44699667,-90.84801333
53876853,2020-07-21,33.7837476469,-90.145876312
54220405,2020-07-24,31.42599,-91.4531355
54468807,2020-07-26,31.42599,-91.4531355
54762724,2020-07-29,30.39243,-88.787995
55920170,2020-08-09,30.3979580244,-88.79017571
57065163,2020-08-20,30.39231333,-88.78803833
58070579,2020-08-30,30.392372869,-88.787983507
58070684,2020-08-30,30.392372869,-88.787983507
58070899,2020-08-30,30.4135376627,-88.7948972555
58684660,2017-07-11,33.027346,-89.920365
59191306,2020-09-10,31.42599,-91.4531355
59197346,2020-09-05,33.274175,-88.79031333
59368700,2020-09-12,31.18115038,-90.52100654
59375995,2020-09-12,31.1811639799,-90.52083677
59637230,2020-09-09,33.1413864,-90.8715289997
60066664,2020-09-17,30.3398051791,-88.5190077443
60239937,2016-03-26,32.4058512992,-89.8423734771
61756594,2020-08-10,32.3874295726,-89.9680997143
62455664,2020-03-11,32.4032729881,-90.0748736078
62798413,2020-10-17,31.2169648807,-89.3629398384
62821293,2020-10-17,31.42599,-91.4531355
62897945,2020-09-16,30.3592277778,-89.6022138889
63176147,2020-10-21,33.270895,-88.777625
63919087,2020-10-31,31.42599,-91.4531355
64289196,2020-11-06,33.2825052634,-88.7801863253
64364453,2020-11-07,30.3272752191,-89.6299219973
64364465,2020-11-07,30.327175,-89.6298216667
64393704,2020-11-07,31.42599,-91.4531355
66032287,2018-03-25,30.3928601777,-88.7974525173
66530144,2020-12-13,30.3957124103,-88.7921545518
66657382,2020-12-16,32.4325891092,-88.5227089045
67597243,2020-12-28,30.3979871854,-88.7900344662
67616887,2021-01-04,30.3494805556,-88.7134944444
69461881,2007-03-12,30.4174617942,-88.9979322619
69860614,2011-05-04,30.3678367947,-88.7137915921
69956889,2021-02-20,30.39768,-88.790115
70539632,2021-03-03,30.3284469637,-89.6267725226
70963427,2021-03-10,30.3289545793,-89.6268030743
70974155,2021-03-10,30.4148279583,-88.5427238525
71145052,2021-03-13,30.3994747396,-88.7553930505
71548347,2021-03-18,31.33936816,-91.42056942
71548355,2021-03-18,31.36081752,-91.41719557
71749584,2021-03-21,31.3425697021,-91.4270453351
71772887,2021-03-01,30.3918514,-88.791067
71781880,2017-04-02,30.3967302532,-88.7898485678
71781881,2017-04-02,30.3948595925,-88.7912708775
71989380,2021-03-20,30.3484824053,-88.7108250998
72102011,2021-03-26,30.3811908456,-89.6169274306
72102136,2021-03-26,30.382322221,-89.616976481
72226032,2021-03-22,30.4147283333,-88.5434083333
72229092,2021-03-27,32.9480820593,-90.509377756
72911973,2021-04-04,30.4101626983,-88.9576968313
73034503,2021-04-05,30.3822517898,-89.6178494872
73034537,2021-04-05,30.3822517898,-89.6178494872
73131038,2021-04-06,30.3822517898,-89.6178494872
73131069,2021-04-06,30.3822517898,-89.6178494872
73245872,2021-04-07,30.3815321894,-89.6163575215
73402651,2021-04-07,30.3918303281,-88.7911605835
73769321,2021-04-12,30.3822517898,-89.6178494872
73811623,2021-04-11,33.269375,-88.78325
73861783,2021-04-13,30.3822517898,-89.6178494872
74106672,2021-04-15,30.3813077952,-89.6178134481
74106757,2021-04-15,30.3822103622,-89.6171120926
74167170,2021-04-16,30.3822517898,-89.6178494872
74167177,2021-04-16,30.3822517898,-89.6178494872
74167179,2021-04-16,30.3822517898,-89.6178494872
74549574,2021-04-19,30.3822517898,-89.6178494872
74549575,2021-04-19,30.3822517898,-89.6178494872
74549581,2021-04-19,30.3822517898,-89.6178494872
74549585,2021-04-19,30.3822517898,-89.6178494872
74658290,2021-04-20,30.3822517898,-89.6178494872
74658300,2021-04-20,30.3822517898,-89.6178494872
74705444,2021-04-20,30.406576378,-88.8174986275
74769192,2021-04-21,30.3979982188,-88.7898138291
74773900,2021-04-21,30.3923328673,-88.7880238251
74861343,2021-04-22,30.3822517898,-89.6178494872
74861345,2021-04-22,30.3822517898,-89.6178494872
74861387,2021-04-22,30.3822517898,-89.6178494872
74953539,2021-04-23,30.3822517898,-89.6178494872
74953541,2021-04-23,30.3822517898,-89.6178494872
74953542,2021-04-23,30.3822517898,-89.6178494872
74956941,2021-04-20,30.3304513262,-88.4782435778
75113249,2021-04-24,30.3475518958,-89.6137410686
75347068,2021-04-26,30.3822517898,-89.6178494872
75551316,2021-04-26,33.7681783118,-90.1429637077
75580875,2021-04-28,30.380431728,-89.6173496842
75897181,2021-04-30,30.3822517898,-89.6178494872
75897199,2021-04-30,30.3822517898,-89.6178494872
75897216,2021-04-30,30.3822517898,-89.6178494872
75897253,2021-04-30,30.3822517898,-89.6178494872
75897283,2021-04-30,30.3822517898,-89.6178494872
75897302,2021-04-30,30.3822517898,-89.6178494872
76162905,2021-05-01,31.2361991265,-89.8409767218
77020475,2021-05-03,30.3822517898,-89.6178494872
77020492,2021-05-03,30.3822517898,-89.6178494872
77316750,2021-05-04,30.3822517898,-89.6178494872
77652229,2021-05-06,30.3797156784,-89.6169914969
77652430,2021-05-06,30.3817792806,-89.617850206
77916081,2021-05-01,32.39402,-89.9328466667
78116432,2021-05-09,31.42599,-91.4531355
78160377,2021-05-07,32.8770996787,-90.5760859381
78179467,2013-08-27,33.2643500423,-88.7833027169
78350965,2019-09-29,30.397925,-88.79013
78361641,2021-05-03,33.7562437296,-90.1513524959
78478281,2021-03-07,30.4349616667,-88.4374916667
78480538,2021-05-11,32.3865383333,-89.9667666667
78493216,2021-05-12,30.3470688547,-89.6137158796
78495992,2019-09-28,30.4478864901,-88.6537397121
78522588,2021-05-12,30.3807114445,-89.6168655535
78610113,2021-05-13,30.3822517898,-89.6178494872
78610121,2021-05-13,30.3822517898,-89.6178494872
78610129,2021-05-13,30.3822517898,-89.6178494872
78621103,2021-05-13,30.3803361383,-89.6178978692
78629442,2019-06-09,31.570023517,-89.0330474549
78751522,2021-05-14,30.3801377386,-89.6178959396
78880562,2021-05-14,30.4319928035,-88.6583081516
78941332,2021-05-15,32.5794342,-89.8699551
78941343,2021-05-15,32.5794342,-89.8699551
79146615,2021-05-16,30.4092290762,-89.0146272241
79174264,2021-05-17,30.3822517898,-89.6178494872
79304471,2021-05-18,30.3822517898,-89.6178494872
79434732,2021-04-30,30.2903022512,-88.6871789996
80246031,2021-05-22,30.3340791738,-89.5786118145
80631609,2021-05-25,32.328535,-90.1480183333
80801838,2021-05-29,32.3248416667,-90.1566388333
81169080,2021-05-30,33.2625215085,-88.7793824068
81169654,2021-05-30,33.2746465594,-88.7906131319
81170154,2021-05-30,33.2747193074,-88.7906083732
81712232,2021-06-04,30.3680496216,-89.0879516602
81848605,2021-06-05,32.328555,-90.14617
81956098,2021-06-06,33.0833210791,-90.9801194072
82234412,2021-06-08,30.3799425795,-89.6170712948
82234457,2021-06-08,30.3802135016,-89.6172518201
82923327,2021-06-13,30.3656543125,-89.0871810131
83582383,2021-06-17,33.2825445747,-88.780904688
84087548,2021-06-22,30.3822517898,-89.6178494872
84087569,2021-06-22,30.3822517898,-89.6178494872
84087573,2021-06-22,30.3822517898,-89.6178494872
84470455,2021-06-25,30.3803932967,-89.6170439421
85054044,2021-06-29,30.3800622483,-89.6169702928
85129858,2021-06-30,30.3822517898,-89.6178494872
85249545,2021-07-01,30.3822517898,-89.6178494872
85491024,2021-07-03,30.3212252579,-88.7922880968
85492053,2021-07-03,30.3649259822,-88.7963244091
85542605,2021-07-03,30.3044147871,-88.7531490369
85566015,2021-07-03,30.2570812702,-88.6929220286
85724617,2021-07-04,30.3659814548,-88.6234780223
85859620,2021-07-05,30.4163867927,-88.7907184538
85862757,2021-07-05,33.2746124268,-88.7823028564
85876655,2021-07-05,30.4083050022,-89.015625
86062927,2021-07-07,30.3822517898,-89.6178494872
86236768,2021-07-08,30.3801712788,-89.6170574136
88899210,2021-07-27,30.3928842,-89.6734256
89154225,2015-07-29,30.8947918483,-89.469300847
90103360,2021-08-05,30.4046414643,-88.7784072606
90337476,2021-08-07,31.42599,-91.4531355
90347466,2021-08-07,30.3901370601,-88.4433779164
90950369,2021-08-12,30.3962935181,-88.7922193855
91009846,2021-07-23,33.2825867262,-88.7809069619
91066702,2021-08-13,31.42599,-91.4531355
91094989,2021-07-09,33.2724523256,-88.7763193467
91999662,2021-08-21,32.5780300971,-89.8697385192
92176179,2021-07-28,32.3524189515,-90.0725452469
92184265,2021-08-22,31.42599,-91.4531355
93395790,2021-09-02,30.3822517898,-89.6178494872
93395819,2021-09-02,30.3822517898,-89.6178494872
93395846,2021-09-02,30.3822517898,-89.6178494872
93492546,2021-09-02,32.5234034804,-89.9450752013
93501040,2021-09-03,30.3822517898,-89.6178494872
93757754,2021-05-16,32.5320466667,-89.9431533333
94126695,2021-09-08,30.3822517898,-89.6178494872
94238506,2021-09-09,30.3822517898,-89.6178494872
94739254,2021-09-13,30.3822517898,-89.6178494872
94739256,2021-09-13,30.3822517898,-89.6178494872
94739278,2021-09-13,30.3822517898,-89.6178494872
94847914,2021-09-14,30.3822517898,-89.6178494872
94847930,2021-09-14,30.3822517898,-89.6178494872
94847950,2021-09-14,30.3822517898,-89.6178494872
94959117,2021-09-15,32.324535,-90.15649
94960667,2021-09-05,30.4082916667,-89.0144666667
95070469,2021-09-16,30.3801649405,-89.6171589482
95070680,2021-09-16,30.380327593,-89.6172340922
95168662,2021-09-17,30.3822517898,-89.6178494872
95426753,2021-09-19,31.42599,-91.4531355
95445247,2021-09-19,30.43212216,-88.65810923
95460832,2021-09-19,30.3988383333,-88.8158283333
95566282,2021-09-20,30.3822517898,-89.6178494872
95682958,2021-09-21,30.3822517898,-89.6178494872
95682968,2021-09-21,30.3822517898,-89.6178494872
95682969,2021-09-21,30.3822517898,-89.6178494872
95682971,2021-09-21,30.3822517898,-89.6178494872
95781548,2021-09-22,30.3279068,-89.6275705
95870818,2021-09-23,30.3822517898,-89.6178494872
95870827,2021-09-23,30.3822517898,-89.6178494872
95896103,2021-09-23,32.326825,-90.1458805
95994630,2021-09-24,32.2631429757,-90.0059701798
96319756,2021-09-26,30.43210963,-88.6591450401
96747621,2021-09-30,30.3923111111,-88.788025
97107818,2021-10-03,30.3264933968,-88.6397386274
97273631,2021-10-05,30.3822517898,-89.6178494872
97593255,2021-10-08,30.3923166667,-88.78807
97941269,2021-10-11,30.3978583333,-88.7901533333
98122891,2021-10-13,30.3822517898,-89.6178494872
98234005,2021-10-14,30.3800056803,-89.6171429969
98646897,2021-10-18,30.3801594091,-89.6170035204
99033519,2021-10-22,30.3801071084,-89.616562387
99116850,2021-10-22,30.397725,-88.7919466667
99324860,2021-10-16,30.4023416667,-89.0384221667
99526915,2021-02-02,30.3679962158,-89.0880355835
99644185,2021-10-28,30.3822517898,-89.6178494872
100004188,2021-11-01,30.3800014911,-89.6168884335
100091614,2021-11-02,31.4543111148,-91.4476586851
100097477,2021-11-02,30.3799260609,-89.6168270293
100097883,2021-11-02,30.3800686849,-89.616597594
