longitude,latitude,id
-112.0118637,33.57258224,3762
-111.9854889,33.52526474,12298
-112.9058802,32.0877596,13279
-111.164485,32.244294,26966
-113.646348,33.614877,37607
-111.0478436,32.19915773,51379
-112.0699931,33.5843611,53483
-110.725369,32.287335,65555
-112.0298745,33.56082144,67015
-110.721311,32.314691,85896
-110.720021,32.314991,95485
-111.0353981,32.17082766,134237
-110.9089378,32.4341008,138529
-111.0937311,34.0489281,140251
-112.1478152,32.8352278,144242
-111.945883,33.45972,147462
-112.1298,32.83826,155425
-113.7498818,32.2263082,162430
-111.1681706,32.2440129,201386
-111.5242767,33.67606852,205644
-111.161042,33.67448,206823
-110.715317,32.159716,206843
-110.7175,32.156883,206844
-111.991539,33.36322315,213522
-112.1478152,32.8352278,248609
-111.529083,33.688924,320908
-110.784727,32.103626,330720
-112.90588,32.08776,338687
-112.147794,32.835503,353698
-112.503196,33.598078,411967
-111.155806,32.237488,422400
-114.448738,32.824666,422937
-111.04253,32.156084,439343
-112.068768,33.789101,451463
-111.762397,33.795903,465462
-111.181084,33.658183,487157
-112.025234,33.711125,503239
-111.1974106,32.25391388,503788
-111.2055917,32.27074167,503791
-111.2078278,32.25995278,503792
-111.2030972,32.25491944,503794
-111.1681747,32.24401474,503816
-110.932431,32.419946,506550
-110.735922,32.178475,514202
-111.039547,32.157047,524230
-111.0409,32.15694,524248
-110.908978,32.344321,547617
-112.023125,33.542904,560631
-113.3370571,31.83676108,586439
-111.029504,32.157313,601063
-112.90588,31.9415,602066
-110.7296667,32.20583333,604199
-111.842108,33.717172,610544
-111.9805,31.99366667,614612
-112.0186667,32.04166667,614617
-110.938563,32.355203,616128
-110.937755,32.356115,616143
-112.180517,32.834634,616875
-111.945152,33.458443,625211
-112.744446,32.138409,629529
-112.770014,32.110205,630108
-112.093799,32.135306,630154
-111.408577,32.054645,631317
-112.027817,33.362343,642465
-112.279072,32.84426,643461
-114.2708867,34.37087627,672218
-111.945152,33.458443,704097
-111.950147,33.508181,716699
-111.858478,33.649507,716714
-111.948451,33.513546,716744
-111.858478,33.649507,716789
-111.189673,32.257578,725383
-111.194651,32.255328,725385
-112.5796661,33.43733215,779872
-111.481523,33.463906,845557
-112.724875,32.06839722,877032
-112.29332,32.849019,892000
-112.29332,32.849019,892001
-110.704422,32.229066,895663
-112.147608,32.835538,1046340
-112.304049,33.885522,1053198
-111.197226,32.254384,1062056
-114.454242,32.873993,1105905
-111.151037,32.322581,1109451
-111.14155,32.325245,1109502
-111.197403,32.253974,1113631
-111.226959,32.463426,1145260
-111.102418,32.194063,1157785
-112.845699,31.978514,1168854
-110.705286,32.185276,1176890
-111.4067467,32.64528333,1214741
-111.40715,32.644825,1214787
-111.4074033,32.64517,1214788
-111.4071583,32.64482167,1214790
-111.4073417,32.64473667,1214792
-111.407355,32.64526667,1214812
-111.4064633,32.64518,1214830
-111.406045,32.64510333,1214831
-111.1677033,32.28452167,1216465
-111.16738,32.28421167,1216481
-111.1671133,32.28417167,1216482
-111.1675633,32.283255,1216524
-111.167855,32.282775,1216540
-111.1681133,32.28239167,1216549
-111.167075,32.28452167,1216869
-111.1673283,32.28513,1216875
-111.1662528,32.28583,1216877
-111.1638805,32.28719667,1216878
-111.1622083,32.29143667,1216887
-111.1581945,32.3009,1216889
-111.16175,32.29333833,1216890
-111.1564112,32.30788833,1216891
-111.1549305,32.31319667,1216896
-111.1556388,32.31456167,1216897
-111.1552362,32.3177,1216933
-111.2160867,32.27058333,1216934
-111.2108467,32.26269167,1216973
-111.2119917,32.26239667,1217017
-111.2123867,32.26224167,1217020
-111.2115867,32.26118333,1217032
-111.211525,32.26153,1217048
-111.210755,32.26205,1217074
-111.2107,32.262395,1217082
-111.2103417,32.26248833,1217090
-111.199495,32.25460833,1217098
-111.18788,32.25172,1217099
-111.1711117,32.2477,1217101
-111.1144862,32.198795,1217105
-114.093544,32.372884,1259781
-110.8736828,32.34776737,1273030
-111.09623,33.293945,1273113
-111.735078,33.361219,1273486
-111.118015,32.216582,1273900
-111.166615,32.296736,1302726
-111.5225,33.65633333,1311399
-111.0147,31.863694,1381394
-110.958355,32.204864,1390845
-111.194279,32.269281,1398522
