latitude,longitude
33.0809251,-90.9711324
32.0326138048,-90.6387103433
31.42599,-91.4531355
31.4089664181,-91.1860171704
30.2359011,-88.669948
31.3622147,-91.4174548
33.27437766,-88.79059217
31.42599,-91.4531355
33.2671200451,-88.781426847
31.42599,-91.4531355
31.545975,-90.4505083333
30.372952511,-88.7025815563
